,sampleNum,data
0,1,2053
1,2,2041
2,3,2045
3,4,2055
4,5,2053
5,6,2042
6,7,2056
7,8,2050
8,9,2030
9,10,2046
10,11,2035
11,12,2025
12,13,2035
13,14,2051
14,15,2055
15,16,2054
16,17,2032
17,18,2037
18,19,2051
19,20,2030
20,21,2025
21,22,2055
22,23,2048
23,24,2032
24,25,2029
25,26,2060
26,27,2044
27,28,2026
28,29,2034
29,30,2039
30,31,2061
31,32,2041
32,33,2071
33,34,2056
34,35,2052
35,36,2060
36,37,2057
37,38,2034
38,39,2047
39,40,2051
40,41,2059
41,42,2052
42,43,2035
43,44,2022
44,45,2058
45,46,2075
46,47,2067
47,48,2060
48,49,2052
49,50,2053
50,51,2050
51,52,2034
52,53,2049
53,54,2047
54,55,2042
55,56,2056
56,57,2044
57,58,2028
58,59,2027
59,60,2056
60,61,2063
61,62,2077
62,63,2064
63,64,2027
64,65,2061
65,66,2016
66,67,2060
67,68,2046
68,69,2042
69,70,2043
70,71,2060
71,72,2039
72,73,2050
73,74,2060
74,75,2052
75,76,2047
76,77,2067
77,78,2058
78,79,2035
79,80,2070
80,81,2066
81,82,2059
82,83,2058
83,84,2031
84,85,2051
85,86,2066
86,87,2025
87,88,2042
88,89,2036
89,90,2042
90,91,2040
91,92,2063
92,93,2053
93,94,2029
94,95,2061
95,96,2054
96,97,2032
97,98,2061
98,99,2079
99,100,2031
100,101,2032
101,102,2057
102,103,2064
103,104,2049
104,105,2035
105,106,2053
106,107,2027
107,108,2039
108,109,2058
109,110,2037
110,111,2062
111,112,2045
112,113,2052
113,114,2053
114,115,2052
115,116,2046
116,117,2051
117,118,2043
118,119,2039
119,120,2050
120,121,2063
121,122,2045
122,123,2075
123,124,2038
124,125,2043
125,126,2032
126,127,2027
127,128,2052
128,129,2075
129,130,2053
130,131,2053
131,132,2054
132,133,2035
133,134,2043
134,135,2055
135,136,2025
136,137,2038
137,138,2037
138,139,2048
139,140,2042
140,141,2069
141,142,2044
142,143,2063
143,144,2042
144,145,2023
145,146,2047
146,147,2042
147,148,2054
148,149,2069
149,150,2050
150,151,2051
151,152,2034
152,153,2029
153,154,2043
154,155,2042
155,156,2051
156,157,2047
157,158,2043
158,159,2039
159,160,2035
160,161,2062
161,162,2062
162,163,2047
163,164,2047
164,165,2044
165,166,2044
166,167,2051
167,168,2052
168,169,2041
169,170,2040
170,171,2061
171,172,2041
172,173,2054
173,174,2063
174,175,2039
175,176,2069
176,177,2054
177,178,2057
178,179,2027
179,180,2033
180,181,2033
181,182,2047
182,183,2068
183,184,2057
184,185,2047
185,186,2035
186,187,2050
187,188,2044
188,189,2051
189,190,2056
190,191,2046
191,192,2034
192,193,2046
193,194,2052
194,195,2043
195,196,2048
196,197,2048
197,198,2066
198,199,2042
199,200,2059
200,201,2054
201,202,2041
202,203,2058
203,204,2042
204,205,2055
205,206,2050
206,207,2044
207,208,2044
208,209,2045
209,210,2047
210,211,2049
211,212,2053
212,213,2022
213,214,2049
214,215,2042
215,216,2048
216,217,2061
217,218,2036
218,219,2057
219,220,2060
220,221,2044
221,222,2039
222,223,2065
223,224,2049
224,225,2060
225,226,2061
226,227,2068
227,228,2042
228,229,2045
229,230,2052
230,231,2037
231,232,2047
232,233,2054
233,234,2038
234,235,2035
235,236,2049
236,237,2071
237,238,2047
238,239,2031
239,240,2038
240,241,2033
241,242,2063
242,243,2036
243,244,2059
244,245,2055
245,246,2049
246,247,2038
247,248,2018
248,249,2042
249,250,2034
250,251,2057
251,252,2042
252,253,2030
253,254,2043
254,255,2030
255,256,2052
256,257,2050
257,258,2070
258,259,2049
259,260,2040
260,261,2047
261,262,2050
262,263,2044
